G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 21-084,OKC,@, UTA, L (-5), 0, 23:00,5,8, .625, 0,1,.000,2,4,.500, 1,2,3,0, 1, 0,3,3, 12
2, 2019-10-25, 21-086,OKC,, WAS, L (-12), 0, 18:00,3,7, .429, 0,1,.000,1,1,1.000, 1,4,5,0, 1, 0,5,3, 7
3, 2019-10-27, 21-088,OKC,, GSW, W (+28), 0, 12:41,3,5, .600, 1,2,.500,1,2,.500, 0,1,1,0, 1, 0,1,3, 8
4, 2019-10-28, 21-089,OKC,@, HOU, L (-4), 0, 17:49,4,11, .364, 0,2,.000,1,2,.500, 5,1,6,1, 0, 1,0,3, 9
5, 2019-10-30, 21-091,OKC,, POR, L (-3), 0, 19:57,5,9, .556, 0,0,,2,4,.500, 4,6,10,1, 2, 0,0,1, 12
6, 2019-11-02, 21-094,OKC,, NOP, W (+11), 0, 29:30,5,14, .357, 0,4,.000,2,3,.667, 1,4,5,1, 1, 1,1,3, 12
7, 2019-11-05, 21-097,OKC,, ORL, W (+8), 0, 22:04,2,5, .400, 0,1,.000,2,2,1.000, 2,4,6,1, 2, 2,0,1, 6
8, 2019-11-07, 21-099,OKC,@, SAS, L (-9), 0, 31:48,5,9, .556, 1,1,1.000,0,0,, 0,2,2,2, 2, 0,1,2, 11
9, 2019-11-09, 21-101,OKC,, GSW, W (+6), 0, 23:14,4,6, .667, 0,0,,0,0,, 0,3,3,2, 2, 0,1,2, 8
10, 2019-11-10, 21-102,OKC,, MIL, L (-2), 0, 21:38,5,6, .833, 0,0,,0,0,, 0,0,0,0, 3, 0,1,2, 10
11, 2019-11-12, 21-104,OKC,@, IND, L (-26), 1, 22:02,1,4, .250, 0,1,.000,0,0,, 0,3,3,1, 1, 0,1,3, 2
15, 2019-11-22, 21-114,OKC,, LAL, L (-3), 0, 14:38,4,8, .500, 0,0,,0,0,, 0,2,2,1, 2, 0,0,3, 8
