G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 34-170,OKC,@, UTA, L (-5), 1, 30:07,7,15, .467, 4,7,.571,4,4,1.000, 1,7,8,3, 1, 0,1,4, 22
2, 2019-10-25, 34-172,OKC,, WAS, L (-12), 1, 30:02,3,9, .333, 0,2,.000,0,3,.000, 0,2,2,4, 0, 0,5,1, 6
3, 2019-10-27, 34-174,OKC,, GSW, W (+28), 1, 19:04,2,5, .400, 2,2,1.000,4,4,1.000, 0,2,2,2, 1, 0,0,1, 10
4, 2019-10-28, 34-175,OKC,@, HOU, L (-4), 1, 33:55,6,14, .429, 3,7,.429,0,2,.000, 0,4,4,4, 2, 0,6,4, 15
5, 2019-10-30, 34-177,OKC,, POR, L (-3), 1, 31:26,5,10, .500, 1,4,.250,10,11,.909, 0,5,5,5, 2, 0,4,1, 21
6, 2019-11-02, 34-180,OKC,, NOP, W (+11), 1, 29:17,5,9, .556, 3,5,.600,2,2,1.000, 1,0,1,9, 3, 0,3,2, 15
7, 2019-11-05, 34-183,OKC,, ORL, W (+8), 1, 32:05,6,15, .400, 2,6,.333,6,6,1.000, 0,2,2,6, 3, 0,0,3, 20
8, 2019-11-07, 34-185,OKC,@, SAS, L (-9), 1, 30:51,7,14, .500, 2,4,.500,3,4,.750, 0,2,2,5, 1, 0,1,1, 19
9, 2019-11-09, 34-187,OKC,, GSW, W (+6), 1, 30:34,5,11, .455, 0,3,.000,6,6,1.000, 0,5,5,9, 3, 0,3,2, 16
10, 2019-11-10, 34-188,OKC,, MIL, L (-2), 1, 31:46,6,11, .545, 3,5,.600,2,2,1.000, 0,5,5,5, 1, 0,3,1, 17
11, 2019-11-12, 34-190,OKC,@, IND, L (-26), 1, 24:58,2,7, .286, 0,2,.000,3,4,.750, 0,4,4,8, 3, 0,3,2, 7
12, 2019-11-15, 34-193,OKC,, PHI, W (+8), 1, 38:28,7,13, .538, 1,3,.333,12,12,1.000, 1,7,8,5, 0, 0,0,3, 27
13, 2019-11-18, 34-196,OKC,@, LAC, L (-2), 1, 33:20,5,10, .500, 2,4,.500,10,11,.909, 0,4,4,4, 4, 0,1,3, 22
